name,nationality,currentrank,prevyearrank,sport,year,earnings
Mike Tyson,USA,1,,boxing,1990,28.6
Buster Douglas,USA,2,,boxing,1990,26.0
Sugar Ray Leonard,USA,3,,boxing,1990,13.0
Ayrton Senna,Brazil,4,,auto racing,1990,10.0
Alain Prost,France,5,,auto racing,1990,9.0
Jack Nicklaus,USA,6,,golf,1990,8.6
Greg Norman,Australia,7,,golf,1990,8.5
Michael Jordan,USA,8,,basketball,1990,8.1
Arnold Palmer,USA,8,,golf,1990,8.1
Evander Holyfield,USA,8,,boxing,1990,8.1
Evander Holyfield,USA,1,8,boxing,1991,60.5
Mike Tyson,USA,2,1,boxing,1991,31.5
Michael Jordan,USA,3,8,basketball,1991,16.0
George Foreman,USA,4,>30,boxing,1991,14.5
Ayrton Senna,Brazil,5,4,auto racing,1991,13.0
Alain Prost,France,6,5,auto racing,1991,11.0
"Donovan ""Razor"" Ruddock",Canada,7,>30,boxing,1991,10.2
Arnold Palmer,USA,8,8,golf,1991,9.3
Nigel Mansell,UK,9,12,auto racing,1991,9.0
Sugar Ray Leonard,USA,10,6,golf,1991,8.5
Michael Jordan,USA,1,3,Basketball,1992,35.9
Evander Holyfield,USA,2,1,Boxing,1992,28.0
Ayrton Senna,Brazil,3,5,Auto Racing,1992,22.0
Nigel Mansell,UK,4,9,Auto Racing,1992,14.5
Arnold Palmer,USA,5,8,Golf,1992,11.1
Andre Agassi,USA,6,17,Tennis,1992,11.0
Joe Montana,USA,7,13,NFL,1992,9.5
Sugar Ray Leonard,USA,8,10,Golf,1992,9.2
Jim Courier,USA,9,>40,Tennis,1992,9.0
Monica Seles,USA,10,12,Tennis,1992,8.5
Michael Jordan,USA,1,1,Basketball,1993,36.0
Riddick Bowe,USA,2,>40,Boxing,1993,25.0
Ayrton Senna,Brazil,3,3,Auto racing,1993,18.5
Alain Prost,France,4,>40,Auto Racing,1993,16.0
George Foreman,USA,5,19,Boxing,1993,15.8
Shaquille O'Neal,USA,6,>40,NBA,1993,15.2
Lennox Lewis,USA,7,>40,Boxing,1993,15.0
Cecil Fielder,USA,8,40,Baseball,1993,12.7
Jim Courier,USA,9,9,Tennis,1993,12.6
Joe Montana,USA,10,7,NFL,1993,11.5
Michael Jordan,USA,1,1,Basketball,1994,30.0
Shaq O'Neal,USA,2,6,Basketball,1994,16.7
Jack Nicklaus,USA,3,13,Golf,1994,14.8
Arnold Palmer,USA,4,11,Golf,1994,13.6
Gerhard Berger,Austria,5,30,Auto Racing,1994,13.5
Wayne Gretzky,Canada,5,22,Ice Hockey,1994,13.5
Michael Moorer,USA,7,>40,Boxing,1994,12.1
Evander Holyfield,USA,8,12,Boxing,1994,12.0
Andre Agassi,USA,9,20,Tennis,1994,11.4
Nigel Mansell,UK,10,19,Auto Racing,1994,11.3
Michael Jordan,USA,1,1,basketball,1995,43.9
Mike Tyson,USA,2,not ranked,boxing,1995,40.0
Deion Sanders,USA,3,38,American Football / Baseball,1995,22.5
Riddick Bowe,USA,4,not ranked,boxing,1995,22.2
Shaquille O'Neal,USA,5,2,basketball,1995,21.9
George Foreman,USA,6,15,boxing,1995,18.0
Andre Agassi,USA,7,9,tennis,1995,16.0
Sugar Ray Leonard,USA,8,3,golf,1995,15.1
Michael Schumacher,Germany,9,30,auto racing,1995,15.0
Wayne Gretzky,Canada,10,5,ice hockey,1995,14.5
Mike Tyson,USA,1,2,Boxing,1996,75.0
Michael Jordan,USA,2,1,Basketball,1996,52.6
Michael Schumacher,Germany,3,9,F1 Motorsports,1996,33.0
Shaquille O'Neal,USA,4,5,Basketball,1996,24.4
Emmit Smith,USA,5,not ranked,NFL,1996,16.5
Evander Holyfield,USA,6,14,Boxing,1996,15.5
Andre Agassi,USA,7,7,Tennis,1996,15.2
Arnold Palmer,USA,8,11,Golf,1996,15.1
Dennis Rodman,USA,9,not ranked,Basketball,1996,12.9
Patrick Ewing,USA,9,19,Basketball,1996,12.9
Michael Jordan,USA,1,2,Basketball,1997,78.3
Evander Holyfield,USA,2,6,Boxing,1997,54.3
Oscar De La Hoya,USA,3,17,Boxing,1997,38.0
Michael Schumacher,Germany,4,3,F1 Motorsports,1997,35.0
Mike Tyson,USA,5,1,Boxing,1997,27.0
Tiger Woods,USA,6,26,Golf,1997,26.1
Shaquille O'Neal,USA,7,4,Basketball,1997,25.4
Dale Earnhardt,USA,8,20,NASCAR,1997,19.1
Joe Sakic,Canada,9,none,Hockey,1997,17.9
Grant Hill,USA,10,18,Basketball,1997,17.0
Michael Jordan,USA,1,,Basketball,1998,69.0
Michael Schumacher,Germany,2,,F1 Motorsports,1998,38.0
Sergei Federov,Russia,3,,Ice Hockey,1998,29.8
Tiger Woods,USA,4,,Golf,1998,26.8
Dale Earnhardt,USA,5,,NASCAR,1998,24.1
Grant Hill,USA,6,,Basketball,1998,21.6
Oscar De La Hoya,USA,7,,Boxing,1998,18.5
Patrick Ewing,USA,8,,Basketball,1998,18.3
Arnold Palmer,USA,9,,Golf,1998,18.1
Gary Sheffield,USA,10,,Baseball,1998,17.2
Michael Schumacher,Germany,1,2,Auto Racing,1999,49.0
Tiger Woods,USA,2,4,Golf,1999,47.0
Oscar De La Hoya,USA,3,7,Boxing,1999,43.5
Michael Jordan,USA,4,1,Basketball,1999,40.0
Evander Holyfield,USA,5,>10,Boxing,1999,35.5
Mike Tyson,USA,6,>10,Boxing,1999,33.0
Shaq O'Neal,USA,7,>10,Basketball,1999,31.0
Lennox Lewis,USA,8,>10,Boxing,1999,29.0
Dale Earnhardt,USA,9,5,Auto Racing,1999,26.5
Grant Hill,USA,10,6,Basketball,1999,23.0
Michael Schumacher,Germany,1,1,Auto Racing,2000,59.0
Tiger Woods,USA,2,2,Golf,2000,53.0
Mike Tyson,USA,3,6,Boxing,2000,48.0
Michael Jordan,USA,4,4,Basketball,2000,37.0
Grant Hill,USA,5,10,Basketball,2000,26.0
Dale Earnhardt,USA,6,9,Auto Racing (Nascar),2000,24.5
Shaq O'Neal,USA,7,7,Basketball,2000,24.0
Lennox Lewis,USA,8,8,Boxing,2000,23.0
Oscar De La Hoya,USA,9,3,Boxing,2000,23.0
Kevin Garnett,USA,10,>10,Basketball,2000,21.0
Tiger Woods,USA,1,2,Golf,2002,69.0
Michael Schumacher,Germany,2,1,F1 Motorsports,2002,67.0
Michael Jordan,USA,3,4,Basketball,2002,36.0
Lennox Lewis,USA,4,8,Boxing,2002,28.0
Grant Hill,USA,5,5,Basketball,2002,24.0
Shaquille O'Neal,USA,5,7,Basketball,2002,24.0
Mike Tyson,USA,7,3,Boxing,2002,23.0
